code	compartment	contamination	cont.comp	nem	col	ver	diversity_status	treatment	block	fw_aerial	dw_aerial	dw_root	biomass	RSR	height	branch	phe.b	phe.r	phe	phe.total	pah-rhd-gp.b	pah-rhd-gp.r	pah-rhd-gp.c	pah-rhd-gn.b	pah-rhd-gn.r	pah-rhd-gn.c	gn.copies.g.soil	gp.copies.g.soil	pot number
PHE_E_6_Cast	cast	phenanthrene	phe.cas	0	0	1	E	PHE_E	6	48.234	17.308	2.596	19.904	0.150	95	12	1.36	1.97		3.33	48752000	7066148		81264000	542879377	8614449	8614449		91
PHE_CEN_6_Cast	cast	phenanthrene	phe.cas	1	1	1	CEN	PHE_CEN	6	47.509	16.353	1.741	18.094	0.106	94	10	1.32	1.37		2.69	692749	13356175	12965779	48956175	533545817	29916350	29916350	12965779	96
0_0_1_Rhizo	rhizo	control	con.rhi	0	0	0	O	0_O	1	44.205	13.231	1.941	15.172	0.147	86	9	0	0	0	0.00	20666667	14969841		86238095	167460317		167460317	14969841	1
0_C_1_Rhizo	rhizo	control	con.rhi	0	1	0	C	0_C	1	34.555	11.453	1.719	13.172	0.150	84.5	6	0	0	0	0.00	40159363	20047809		54119522	150948207		150948207	20047809	2
0_E_1_Rhizo	rhizo	control	con.rhi	0	0	1	E	0_E	1	56.929	19.043	2.331	21.374	0.122	97.5	10	0	0	0	0.00	5386454	11467729		28254980	139952191		139952191	11467729	3
0_N_1_Rhizo	rhizo	control	con.rhi	1	0	0	N	0_N	1	41.118	12.05	1.455	13.505	0.121	96	6	0	0	0	0.00	6999203	6349206		50693227	92873016		92873016	6349206	4
0_CE_1_Rhizo	rhizo	control	con.rhi	0	1	1	CE	0_CE	1	28.418	8.354	1.415	9.769	0.169	101	4	0	0	0	0.00	5839683	4321600	19940741	64888889	35760000	141985185	35760000	4321600	5
0_CN_1_Rhizo	rhizo	control	con.rhi	1	1	0	CN	0_CN	1	34.493	10.762	1.088	11.85	0.101	95	6	0	0	0	0.00	18581673	2695652		338645418	54893281		54893281	2695652	6
0_EN_1_Rhizo	rhizo	control	con.rhi	1	0	1	EN	0_EN	1	60.43	18.583	2.026	20.609	0.109	100	19	0	0	0	0.00	1289960		6863396	14054618	1719048	123788679	1719048		7
0_CEN_1_Rhizo	rhizo	control	con.rhi	1	1	1	CEN	0_CEN	1	55.032	16.75	1.636	18.386	0.098	95	11	0	0	0	0.00	4395219	5015504	31833962	36446215	5682171	110535849	5682171	5015504	8
